size,path
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49
700,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00/3#Mt Crawford#2023-10-30 13:52:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00/3#Harrisonburg#2023-10-30 13:45:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00/3#Jessup#2023-10-30 14:58:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00/3#Chester#2023-10-30 14:16:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00/3#Front Royal#2023-10-30 13:59:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00/3#Gordonsville#2023-10-30 12:54:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Philadelphia#2023-10-30 00:00:49/3#Gordonsville#2023-10-30 12:54:00+00:00/3#Staunton#2023-10-30 13:59:00
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Newark#2023-10-29 22:51:49
